time_frame,covid_included,ASB_included,correlation_method,edge_method,edge_param,n_nodes,n_edges,density,n_components,lcc_size,n_communities,modularity,mean_betweenness,mean_degree,mean_constraint,mean_eigenvector,edges_pre_filter,edges_post_filter,n_rows_used
2021-2026,TRUE,TRUE,cosine,threshold,0.5,13,65,0.833333333,1,13,2,0.018343195,0.015151515,0.833333333,0.348546364,0.269195473,78,65,12583035
2021-2026,TRUE,TRUE,cosine,threshold,0.7,13,25,0.320512821,3,9,3,0.2216,0.017482517,0.320512821,0.703829952,0.312985789,78,25,12583035
2021-2026,TRUE,TRUE,cosine,knn,3,13,29,0.371794872,1,13,3,0.31450654,0.073426573,0.371794872,0.518638858,0.247359456,78,29,12583035
2021-2026,TRUE,TRUE,cosine,knn,4,13,36,0.461538462,1,13,3,0.231095679,0.053613054,0.461538462,0.421327262,0.258932913,78,36,12583035
2021-2026,TRUE,TRUE,spearman,threshold,0.5,13,54,0.692307692,1,13,2,0.081618656,0.027972028,0.692307692,0.371503094,0.266591347,78,54,12583035
2021-2026,TRUE,TRUE,spearman,threshold,0.7,13,16,0.205128205,3,11,2,0.419921875,0.074592075,0.205128205,0.754822492,0.263635288,78,16,12583035
2021-2026,TRUE,TRUE,spearman,knn,3,13,25,0.320512821,1,13,2,0.3288,0.099067599,0.320512821,0.593956468,0.244825872,78,25,12583035
2021-2026,TRUE,TRUE,spearman,knn,4,13,36,0.461538462,1,13,2,0.240354938,0.055944056,0.461538462,0.443176693,0.267132912,78,36,12583035
2021-2026,TRUE,TRUE,pearson,threshold,0.5,13,55,0.705128205,1,13,2,0.045454545,0.027972028,0.705128205,0.376007673,0.264905566,78,55,12583035
2021-2026,TRUE,TRUE,pearson,threshold,0.7,13,13,0.166666667,5,7,3,0.428994083,0.01981352,0.166666667,0.837002923,0.333562727,78,13,12583035
2021-2026,TRUE,TRUE,pearson,knn,3,13,28,0.358974359,1,13,3,0.299107143,0.071095571,0.358974359,0.482647912,0.257812023,78,28,12583035
2021-2026,TRUE,TRUE,pearson,knn,4,13,37,0.474358974,1,13,3,0.213659606,0.048951049,0.474358974,0.429772192,0.264972237,78,37,12583035
2021-2026,TRUE,FALSE,cosine,threshold,0.5,12,54,0.818181818,1,12,2,0.020404664,0.018181818,0.818181818,0.376225474,0.280196361,66,54,11228101
2021-2026,TRUE,FALSE,cosine,threshold,0.7,12,20,0.303030303,3,8,2,0.255,0.018181818,0.303030303,0.755581857,0.331574325,66,20,11228101
2021-2026,TRUE,FALSE,cosine,knn,3,12,26,0.393939394,1,12,3,0.301035503,0.075757576,0.393939394,0.525135506,0.260406034,66,26,11228101
2021-2026,TRUE,FALSE,cosine,knn,4,12,33,0.5,1,12,2,0.220385675,0.054545455,0.5,0.439656162,0.268138263,66,33,11228101
2021-2026,TRUE,FALSE,spearman,threshold,0.5,12,44,0.666666667,1,12,2,0.089876033,0.033333333,0.666666667,0.406909099,0.276950332,66,44,11228101
2021-2026,TRUE,FALSE,spearman,threshold,0.7,12,14,0.212121212,3,10,2,0.426020408,0.078787879,0.212121212,0.754838291,0.265156669,66,14,11228101
2021-2026,TRUE,FALSE,spearman,knn,3,12,23,0.348484848,1,12,2,0.336483932,0.116666667,0.348484848,0.614920594,0.262577079,66,23,11228101
2021-2026,TRUE,FALSE,spearman,knn,4,12,32,0.484848485,1,12,2,0.241699219,0.057575758,0.484848485,0.481852509,0.279459024,66,32,11228101
2021-2026,TRUE,FALSE,pearson,threshold,0.5,12,44,0.666666667,1,12,2,0.061725207,0.034848485,0.666666667,0.421209929,0.273834805,66,44,11228101
2021-2026,TRUE,FALSE,pearson,threshold,0.7,12,11,0.166666667,6,5,2,0.396694215,0.003030303,0.166666667,0.908890178,0.438826446,66,11,11228101
2021-2026,TRUE,FALSE,pearson,knn,3,12,26,0.393939394,1,12,2,0.269230769,0.074242424,0.393939394,0.523992272,0.27189597,66,26,11228101
2021-2026,TRUE,FALSE,pearson,knn,4,12,33,0.5,1,12,3,0.204775023,0.05,0.5,0.448435628,0.276743548,66,33,11228101
2021-2026,FALSE,TRUE,cosine,threshold,0.5,13,64,0.820512821,1,13,2,0.0234375,0.016317016,0.820512821,0.34924883,0.268963752,78,64,10118309
2021-2026,FALSE,TRUE,cosine,threshold,0.7,13,24,0.307692308,3,9,3,0.246527778,0.018648019,0.307692308,0.716698202,0.310290509,78,24,10118309
2021-2026,FALSE,TRUE,cosine,knn,3,13,29,0.371794872,1,13,3,0.27764566,0.068764569,0.371794872,0.492125427,0.247908328,78,29,10118309
2021-2026,FALSE,TRUE,cosine,knn,4,13,36,0.461538462,1,13,3,0.234567901,0.052447552,0.461538462,0.411172529,0.260416827,78,36,10118309
2021-2026,FALSE,TRUE,spearman,threshold,0.5,13,52,0.666666667,1,13,2,0.094489645,0.03030303,0.666666667,0.379621797,0.265476603,78,52,10118309
